,variabile slack,kernel,Sensibility %,accuracy
0,1,poly,0.0,66.25934707277038
1,201,poly,37.67567567567568,77.51231077877074
2,401,poly,42.0,78.38774393580157
3,601,poly,47.2972972972973,79.75560824366222
4,801,poly,50.86486486486487,80.3757067298924
5,1001,poly,53.4054054054054,80.8863760714937
6,1201,poly,56.10810810810811,81.54295093926682
7,1401,poly,58.05405405405405,82.07185847163962
8,1601,poly,60.97297297297297,82.78314791172716
9,1801,poly,62.21621621621621,83.05672077329929
10,2001,poly,63.027027027027025,83.22086449024256
11,2201,poly,64.10810810810811,83.3485318256429
12,2401,poly,64.48648648648648,83.38500820718585
13,2601,poly,65.29729729729729,83.53091373335765
14,2801,poly,66.0,83.60386649644356
15,3001,poly,66.21621621621621,83.65858106875798
16,3201,poly,66.54054054054053,83.60386649644356
17,3401,poly,66.86486486486487,83.7132956410724
18,3601,poly,66.97297297297298,83.73153383184389
19,3801,poly,67.08108108108108,83.76801021338683
20,4001,poly,67.35135135135135,83.84096297647274
21,4201,poly,67.51351351351352,83.87743935801568
22,4401,poly,67.78378378378378,83.93215393033012
23,4601,poly,67.89189189189189,83.96863031187306
24,4801,poly,68.21621621621622,84.09629764727339
25,5001,poly,68.43243243243244,84.1692504103593
26,5201,poly,68.5945945945946,84.27867955498814
27,5401,poly,68.7027027027027,84.29691774575963
28,5601,poly,68.91891891891892,84.36987050884552
29,5801,poly,68.91891891891892,84.36987050884552
30,6001,poly,68.97297297297297,84.38810869961699
31,6201,poly,69.08108108108108,84.42458508115995
32,6401,poly,69.2972972972973,84.49753784424585
33,6601,poly,69.35135135135135,84.5340142257888
34,6801,poly,69.35135135135135,84.47929965347437
35,7001,poly,69.51351351351352,84.5340142257888
36,7201,poly,69.62162162162161,84.58872879810323
37,7401,poly,69.89189189189189,84.66168156118913
38,7601,poly,69.89189189189189,84.67991975196061
39,7801,poly,70.0,84.69815794273208
40,8001,poly,70.0,84.71639613350355
41,8201,poly,70.0,84.69815794273208
42,8401,poly,70.0,84.67991975196061
43,8601,poly,70.16216216216216,84.71639613350355
44,8801,poly,70.21621621621622,84.73463432427502
45,9001,poly,70.21621621621622,84.7528725150465
46,9201,poly,70.27027027027027,84.78934889658946
47,9401,poly,70.27027027027027,84.78934889658946
48,9601,poly,70.37837837837839,84.8258252781324
49,9801,poly,70.48648648648648,84.88053985044684
50,5,poly,0.0,66.25934707277038
51,10,poly,0.0,66.25934707277038
52,20,poly,5.621621621621622,68.15611891300382
53,1,rbf,81.13513513513514,76.47273390479664
54,201,rbf,74.5945945945946,80.94109064380814
55,401,rbf,74.21621621621621,82.76490972095569
56,601,rbf,74.70270270270271,84.1692504103593
57,801,rbf,75.1891891891892,84.88053985044684
58,1001,rbf,75.89189189189189,85.51887652744847
59,1201,rbf,76.54054054054053,85.90187853364947
60,1401,rbf,77.02702702702703,86.15721320445012
61,1601,rbf,77.24324324324324,86.2484041583075
62,1801,rbf,77.67567567567568,86.43078606602225
63,2001,rbf,77.94594594594595,86.59492978296554
64,2201,rbf,78.27027027027027,86.81378807222323
65,2401,rbf,78.5945945945946,87.01440817070947
66,2601,rbf,79.02702702702703,87.12383731533832
67,2801,rbf,79.1891891891892,87.16031369688126
68,3001,rbf,79.29729729729729,87.17855188765274
69,3201,rbf,79.51351351351352,87.23326645996717
70,3401,rbf,79.45945945945945,87.25150465073864
71,3601,rbf,79.4054054054054,87.25150465073864
72,3801,rbf,79.4054054054054,87.2879810322816
73,4001,rbf,79.35135135135135,87.23326645996717
74,4201,rbf,79.4054054054054,87.23326645996717
75,4401,rbf,79.4054054054054,87.2150282691957
76,4601,rbf,79.35135135135135,87.17855188765274
77,4801,rbf,79.45945945945945,87.2150282691957
78,5001,rbf,79.56756756756756,87.23326645996717
79,5201,rbf,79.56756756756756,87.23326645996717
80,5401,rbf,79.62162162162161,87.23326645996717
81,5601,rbf,79.51351351351352,87.26974284151012
82,5801,rbf,79.51351351351352,87.25150465073864
83,6001,rbf,79.56756756756756,87.25150465073864
84,6201,rbf,79.56756756756756,87.26974284151012
85,6401,rbf,79.62162162162161,87.2879810322816
86,6601,rbf,79.67567567567568,87.30621922305308
87,6801,rbf,79.67567567567568,87.2879810322816
88,7001,rbf,79.72972972972973,87.2879810322816
89,7201,rbf,79.72972972972973,87.34269560459602
90,7401,rbf,79.78378378378378,87.34269560459602
91,7601,rbf,79.8918918918919,87.39741017691045
92,7801,rbf,79.8918918918919,87.39741017691045
93,8001,rbf,79.8918918918919,87.39741017691045
94,8201,rbf,80.0,87.45212474922488
95,8401,rbf,80.0,87.52507751231077
96,8601,rbf,80.0,87.52507751231077
97,8801,rbf,80.10810810810811,87.56155389385373
98,9001,rbf,80.10810810810811,87.56155389385373
99,9201,rbf,80.16216216216216,87.59803027539668
100,9401,rbf,80.10810810810811,87.57979208462521
101,9601,rbf,80.21621621621622,87.61626846616815
102,9801,rbf,80.21621621621622,87.6527448477111
103,5,rbf,80.43243243243244,78.38774393580157
104,10,rbf,80.37837837837839,79.00784242203174
105,20,rbf,79.4054054054054,79.24493890206091
106,1,sigmoid,34.10810810810811,55.77238737917198
107,201,sigmoid,33.78378378378378,55.66295823454313
108,401,sigmoid,33.78378378378378,55.66295823454313
109,601,sigmoid,33.78378378378378,55.66295823454313
110,801,sigmoid,33.78378378378378,55.66295823454313
111,1001,sigmoid,33.78378378378378,55.66295823454313
112,1201,sigmoid,33.78378378378378,55.66295823454313
113,1401,sigmoid,33.78378378378378,55.66295823454313
114,1601,sigmoid,33.78378378378378,55.66295823454313
115,1801,sigmoid,33.78378378378378,55.66295823454313
116,2001,sigmoid,33.78378378378378,55.66295823454313
117,2201,sigmoid,33.78378378378378,55.66295823454313
118,2401,sigmoid,33.78378378378378,55.66295823454313
119,2601,sigmoid,33.78378378378378,55.66295823454313
120,2801,sigmoid,33.78378378378378,55.66295823454313
121,3001,sigmoid,33.78378378378378,55.66295823454313
122,3201,sigmoid,33.78378378378378,55.66295823454313
123,3401,sigmoid,33.78378378378378,55.66295823454313
124,3601,sigmoid,33.78378378378378,55.66295823454313
125,3801,sigmoid,33.78378378378378,55.66295823454313
126,4001,sigmoid,33.78378378378378,55.66295823454313
127,4201,sigmoid,33.78378378378378,55.66295823454313
128,4401,sigmoid,33.78378378378378,55.66295823454313
129,4601,sigmoid,33.78378378378378,55.66295823454313
130,4801,sigmoid,33.78378378378378,55.66295823454313
131,5001,sigmoid,33.78378378378378,55.66295823454313
132,5201,sigmoid,33.78378378378378,55.66295823454313
133,5401,sigmoid,33.78378378378378,55.66295823454313
134,5601,sigmoid,33.78378378378378,55.66295823454313
135,5801,sigmoid,33.78378378378378,55.66295823454313
136,6001,sigmoid,33.78378378378378,55.66295823454313
137,6201,sigmoid,33.78378378378378,55.66295823454313
138,6401,sigmoid,33.78378378378378,55.66295823454313
139,6601,sigmoid,33.78378378378378,55.66295823454313
140,6801,sigmoid,33.78378378378378,55.66295823454313
141,7001,sigmoid,33.78378378378378,55.66295823454313
142,7201,sigmoid,33.78378378378378,55.66295823454313
143,7401,sigmoid,33.78378378378378,55.66295823454313
144,7601,sigmoid,33.78378378378378,55.66295823454313
145,7801,sigmoid,33.78378378378378,55.66295823454313
146,8001,sigmoid,33.78378378378378,55.66295823454313
147,8201,sigmoid,33.78378378378378,55.66295823454313
148,8401,sigmoid,33.78378378378378,55.66295823454313
149,8601,sigmoid,33.78378378378378,55.66295823454313
150,8801,sigmoid,33.78378378378378,55.66295823454313
151,9001,sigmoid,33.78378378378378,55.66295823454313
152,9201,sigmoid,33.78378378378378,55.66295823454313
153,9401,sigmoid,33.78378378378378,55.66295823454313
154,9601,sigmoid,33.78378378378378,55.66295823454313
155,9801,sigmoid,33.78378378378378,55.66295823454313
156,5,sigmoid,33.78378378378378,55.69943461608609
157,10,sigmoid,33.78378378378378,55.66295823454313
158,20,sigmoid,33.78378378378378,55.66295823454313
